var_name,description,valid_labels,missing_labels
prmedia_wktvnws,Days intypical week watch news on TV,"0. None
1. One day
2. Twodays
3. Three days
4. Four days
5. Five days
6. Six days
7. Seven days
","-4. Error
-8. Don't know
-9. Refused
"
prmedia_attvnews,Attention toTV news,"1. A great deal
2. A lot
3. A moderateamount
4. A little
5. None at all
1. A greatdeal
2. A lot
3. A moderate amount
4. A little
5. None at all
","-1. Inapplicable
-8. Don't know
-9. Refused
-1. Inapplicable
-8. Don't know
-9. Refused
"
prmedia_wkpaprnws,Days intypical wk read news in printnewspaper,"0. None
1. One day
2. Twodays
3. Three days
4. Four days
5. Five days
6. Six days
7. Seven days
0. None
1. One day
2. Twodays
3. Threedays
4. Four days
5. Fivedays
6. Six days
7. Seven days
","-4. Error
-8. Don't know
-9. Refused
-4. Error
-8. Don't know
-9. Refused
"
prmedia_atpprnews,Attention toprinted newspaper news,"1. Agreat deal
2. A lot
3. A moderate amount
4. Alittle
5. None at all
1. A greatdeal
2. A lot
3. A moderate amount
4. A little
5. None at all
","-1. Inapplicable
-1. Inapplicable
"
prmedia_wkrdnws,Days intypical week listen news on radio,"0. None
1. One day
2. Twodays
3. Three days
4. Four days
5. Five days
6. Six days
7. Seven days
","-4. Error
-8. Don't know
-9. Refused
"
prmedia_atrdnews,Attention toradio news,"1. Agreat deal
2. A lot
3. A moderate amount
4. Alittle
5. None at all
","-1. Inapplicable
-4. Error
-9. Refused
"
prevote_regist_addr,PRE: Rregistered to vote (pre-election)- sample address,"1. Registered at this address
2. Registered at a differentaddress
3. Not currentlyregistered
1. Registered at this address
2. Registered at a differentaddress
3. Not currently registered
","-1. Inapplicable
-8. Don't know
-9. Refused
-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_regist_noaddr,PRE: WEBONLY:R registered tovote (pre-election)- no sample address,"1. Registered to vote
2. Not currently registered
1. Registered to vote
2. Not currently registered
","-1. Inapplicable
-1. Inapplicable
"
prevote_reg,RESTRICTED: OtherRegistration location - add1 etc,"0. Cityand state not identified in registration
1. City and stateidentified in correct fields
2. City and state identifiable;some recording of
","-1. Inapplicable
-2. Missing: R entered DK/RF fordifferentaddress
"
prevote_reg_recordstate,PRE: FTFONLY:Oth Registr. location - staterecorded in correct field,"0. Neither state nor city identifiedin registration
1. Stateof registration recorded in correct (state)
2. State of registration not recordedin correct field;
3. State of registration not recordedin correct field;
0. Neither state norcity
1. State of registration
2. State ofregistration not
3. State ofregistration not
","-1. Inapplicable
-2. Missing: R entered DK/RF fordifferentaddress
-1. Inapplicable
-2. Missing: RenteredDK/RF
"
prevote_reg_recordcity,PRE: FTFONLY:Oth Registr. location - cityrecorded in correct field,"0. Neither state nor city identifiedin registration
1. Cityof registration recorded in correct (city)field
2. City of registrationnot recorded in correct field
0. Neither state norcity
1. City of registration
2. City of registration not
","-1. Inapplicable
-2. Missing: R entered DK/RF fordifferentaddress
-1. Inapplicable
-2. Missing: RenteredDK/RF
"
prevote_reg_state,PRE: FTFONLY:Other Registr. location - stateof registr. (FIPSCODE),"06. California
48. Texas
22. Louisiana
12. Florida
36. NewYork
17. Illinois
37. NorthCarolina
45. South Carolina
13. Georgia
","-1. Inapplicable
"
prevote_reg_samestate,PRE: FTFONLY:Oth Reg. location - state sameas hsehold's state (Y/N),"0. Not same state as state ofresidence
1. Same state asstate of residence
0. Not same stateas state of residence
1. Samestate as state of residence
","-1. Inapplicable
-1. Inapplicable
"
prevote_regincnty,Is Rregistered to vote in preload county(resid),"1. Yes,registered in<preload: hhcounty>
2. No, registered in other county
6. Answered yes, regin county; other state for
","-1. Inapplicable
-8. Don't know
"
prevote_regyrs3cat,PRE: Howlong has R been registered atlocation (collapsed),"3. Morethan
3. More than
","-1. Inapplicable
-8. Don't know
-9. Refused
-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_regyrsfull,PRE: RESTRICTED:How long has R been registeredat location (full),,"-3. Restricted access
-3. Restricted access
"
prevote_regname,RESTRICTED: nameunder which R registered to vote,"0. FTF: no text in name field;Web: name not
1. text in name field
0. FTF:no text in name field;
1. text in name field
","-1. Inapplicable
-1. Inapplicable
"
prevote_regpty_state,PRE: Doesrecorded state of registration have partyregistration,"0. Notnot registered in state in withparty
1. Registered in statewith party registration
0. Not not registered in state
1. Registered in state with
","-1. Inapplicable
-1. Inapplicable
"
prevote_regpty,Party ofregistration,"1. Democraticparty
2. Republicanparty
4. Noneor 'independent'
5. Other (SPECIFY)
","-1. Inapplicable
-8. Don'tknow
-9. Refused
"
prevote_regpty_oth,PRE: RESTRICTED:Other specify- Party of registration,,"-3. Restricted access
-3. Restricted access
"
prevote_regint,Does Rintend to register to vote,"1. Yes,intendto register
2. No,do not intend to register
1. Yes,intend toregister
2. No,do not intend to register
","-1. Inapplicable
-8. Don'tknow
-9. Refused
-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_primv,Did Rvote in the Presidential primary orcaucus,"1. Yes,voted in primary orcaucus
2. No, didn't votein primary or caucus
1. Yes,voted in primary orcaucus
2. No, didn't votein primary or caucus
","-8. Don't know
-9. Refused
-8. Don't know
-9. Refused
"
prevote_primvwho,For whichcandidate did R vote in Presidentialprim,"01. Mitt romney
02. Barackobama
03. Rick santorum
04. Newtgingrich
05. Ronpaul
06. Rick perry
07. Michele bachmann
08. Jonhuntsman
09. Herman cain
95. Someone else(SPECIFY)
","-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_primvwho_oth,PRE: Othspecify- For which candidate did Rvote in Presidential prim,,"-2. Textresponses available in separatefile
-2. Textresponses available in separatefile
"
prevote_voted,Already votedin General Election,"1. Havevoted
2. Have not voted
1. Havevoted
2. Have not voted
","-1. Inapplicable
-9. Refused
-1. Inapplicable
-9. Refused
"
prevote_vconf,Confirmation voted(early) in November 6 election,"1. Yes,voted
2. No, have not voted
1. Yes,voted
2. No, have not voted
","-1. Inapplicable
-1. Inapplicable
"
prevote_howvote,In whatmanner did R vote,"1. Definitely voted inperson at a polling place
2. Definitely votedby mailing a ballot to elections
3. Definitely voted insome other way
4. Not completely sure whetheryou voted or not
","-1. Inapplicable
-9. Refused
"
prevote_ckbcard,FTF ONLY:IWR CHECKPOINT:have correct Preballot card,"1. Yes,have <blue/pink> color ballot cardfor r's
2. Have ballotcard in wrong color for r'sdistrict
3. Only have card(s) for wrongdistrict or have no
4. Webonly: card for wrong district/ no Housecard
","-1. Inapplicable
"
prevote_ballot_color,PRE: FTFONLY:Assigned color forBallot Card (if displayed),"1. Blue
2. Pink
1. Blue
2. Pink
","-1. Inapplicable
-1. Inapplicable
"
prevote_presvt,Did Rvote for President,"1. Yes,voted for President
2. No, didn't vote forPresident
1. Yes,voted for President
2. No, didn't vote for President
","-1. Inapplicable
-1. Inapplicable
"
prevote_presvtwho,For whomdid R vote for President,"5. Other candidate (SPECIFY)
","-1. Inapplicable
-9. Refused
"
prevote_presvtwho_oth,PRE: Otherspecify- For whom did R votefor President,,"-2. Textresponses available in separatefile
-2. Textresponses available in separatefile
"
prevote_presstr,Preference strongfor Pres cand for whom Rvoted,"1. Strong
2. Not strong
1. Strong
2. Not strong
","-1. Inapplicable
-8. Don't know
-1. Inapplicable
-8. Don't know
"
prevote_vtpresdec,How longbefore election R made decision Presvote,,"-2. Textresponses available in separatefile
-2. Textresponses available in separatefile
"
prevote_vtpresdec_dkrf,PRE: FTFONLY:Hw lng befelct R made decsn Pres vt: DK/RF selected,"1. FTF: codeDK selected in place of open-end
2. FTF: code RF selectedin place of open-end
1. FTF: code DK selectedin
2. FTF: code RF selected in
","-1. Inapplicable
-1. Inapplicable
"
prevote_intpres,Does Rintend to vote for President,"1. Yes
2. No
1. Yes
2. No
","-1. Inapplicable
-8. Don't know
-9. Refused
-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_intpreswho,For whomdoes R intend to vote forPresident,"5. Other candidate(SPECIFY)
","-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_intpreswho_oth,PRE: Otherspecify- For whom does R intendto vote for President,,"-2. Textresponses available in separatefile
-2. Textresponses available in separatefile
"
prevote_intpresst,Pref strngfor Pres cand for whom Rintends to vote,"1. Strong
2. Not strong
1. Strong
2. Not strong
","-1. Inapplicable
-8. Don't know
-9. Refused
-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_prefpres,Does Rprefer Pres cand (no intent toregister),"1. Yes
2. No
1. Yes
2. No
","-1. Inapplicable
-8. Don't know
-9. Refused
-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_prefprwho,Preference forPres cand (no intent to register),"5. Other candidate (SPECIFY)
5. Other candidate (SPECIFY)
","-1. Inapplicable
-8. Don't know
-9. Refused
-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_prefprwho_oth,PRE: Otherspecify- Preference for Pres cand (nointent to register),,"-2. Textresponses available in separatefile
-2. Textresponses available in separatefile
"
prevote_prefprstr,Preference strongfor Pres cand (no intent toreg),"1. Strong
2. Not strong
1. Strong
2. Not strong
","-1. Inapplicable
-8. Don't know
-1. Inapplicable
-8. Don't know
"
prevote_votehs,Did Rvote for U.S. House of Representatives,"1. Yes,voted for House of Representatives
2. No, didn't vote for Houseof Representatives
","-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_hsvtbc,For whomdid R vote for U.S. House(ballot card),"4. R vol: names on ballotcard are not correct
5. Other candidate (SPECIFY)
","-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_hsvtnobc,For whomdid R vote for U.S. House(no ballot card),"81. Democrat
82. Republican
87. Other-candidate not identified by major party
","-1. Inapplicable
-2. Missing
-8. Don'tknow
-9. Refused
"
prevote_inths,Does Rintend to vote for U.S. House,"1. Yes
2. No
","-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_inthsbc,For whomdoes R intend to vote forU.S. House (ballot card),"4. Rvol: names on ballotcard are not correct
5. Other candidate(SPECIFY)
","-1. Inapplicable
-2. Missing
-8. Don't know
-9. Refused
"
prevote_inthsnobc,For whomdoes R intend to vote forU.S. House (no ballot cd),"81. Democrat
82. Republican
87. Other-candidate not identified by major party
","-1. Inapplicable
-2. Missing
-8. Don'tknow
-9. Refused
"
prevote_hspref,Does Rprefer U.S. House candidate,"1. Yes
2. No
","-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_hsprefbc,Whom doesR prefer for U.S. House (ballotcard),"4. R vol: names on ballotcard are not correct
5. Other candidate (SPECIFY)
","-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_hsprefnobc,Whom doesR prefer for U.S. House (noballot card),"82. Republican
87. Other-candidate not identified by major party
82. Republican
87. Other- candidatenot identified by major party
","-1. Inapplicable
-1. Inapplicable
"
prevote_senhhstate,PRE: FTFONLY:Senate election instate of residence,"0. NoSenate race in state of residence
1. Senate race in stateof residence
0. NoSenate race in state of residence
1. Senate race in stateofresidence
","-1. Inapplicable
-1. Inapplicable
"
prevote_senregstate,PRE: FTFONLY:Sen election instate of regist (R not registat resid),"0. No Senaterace- state of registration recorded in
1. Senate race- state of registration recordedin
3. NoSenaterace-stateofregistrationnotrecorded
4. Senate race-state of registration not recorded in
0. No Senate race- state of
1. Senate race- stateof
3. No Senate race- state of
4. Senate race- stateof
","-1. Inapplicable
-2. Stateof registration asked, not recorded
-1. Inapplicable
-2. State of registration
"
prevote_votesen,Did Rvote for U.S. Senate,"1. Yes,voted for Senate
2. No, didn'tvote for Senate
","-1. Inapplicable
-8. Don't know
"
prevote_vtsenbc,R's votefor U.S. Senate (ballot card),"5. Other candidate (SPECIFY)
","-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_vtsennobc,R's votefor U.S. Senate (no ballot card),"81. Democrat
82. Republican
81. Democrat
82. Republican
","-1. Inapplicable
-8. Don't know
-9. Refused
-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_intsen,Does Rintend to vote for U.S. Senate,,
Unweighted Frequencies,,,
prevote_intsenbc,For whomdoes R intend to vote forU.S. Senate (ballot card,"5. Other candidate (SPECIFY)
","-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_intsennobc,For whomdoes R intend to vote forUS. Senate (no ballot cd),"81. Democrat
82. Republican
81. Democrat
82. Republican
","-1. Inapplicable
-8. Don't know
-1. Inapplicable
-8. Don't know
"
prevote_senpref,Does Rprefer U.S. Senate candidate,"1. Yes
2. No
","-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_senprefbc,Whom doesR prefer for U.S. Senate (ballotcard),"5. Other candidate (SPECIFY)
5. Other candidate (SPECIFY)
","-1. Inapplicable
-8. Don't know
-9. Refused
-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_senprefnobc,Whom doesR prefer for U.S. Senate (noballot card),"81. Democrat
82. Republican
81. Democrat
82. Republican
","-1. Inapplicable
-8. Don't know
-1. Inapplicable
-8. Don't know
"
prevote_govhhstate,PRE: FTFONLY:Gubernatorial election instate of residence,"0. No gubernatorial race in stateof residence
1. Gubernatorial race in stateof residence
0. No gubernatorial race in stateof residence
1. Gubernatorial race in stateof residence
","-1. Inapplicable
-1. Inapplicable
"
prevote_govregstate,PRE: FTFONLY:Gov election instate of regist (R not registat resid),"0. No governor race-state of registration recorded
1. Governorrace- state of registration recorded in
3. No governor race- stateof registration not
0. No governor race- state of
1. Governor race- state of
3. No governor race- state of
","-1. Inapplicable
-2. Stateof registration asked, not recorded
-1. Inapplicable
-2. State of registration
"
prevote_votegov,Did Rvote for governor,"1. Yes,voted for governor
2. No, didn'tvote for governor
","-1. Inapplicable
"
prevote_vtgovbc,R's votefor governor(ballot card),"5. Other candidate (SPECIFY)
5. Other candidate (SPECIFY)
","-1. Inapplicable
-9. Refused
-1. Inapplicable
-9. Refused
"
prevote_vtgovnobc,R's votefor governor (no ballot card),"82. Republican
82. Republican
","-1. Inapplicable
-1. Inapplicable
"
prevote_intgov,Does Rintend to vote for governor,"1. Yes
2. No
","-1. Inapplicable
-2. Missing
-8. Don't know
-9. Refused
"
prevote_intgovbc,For whomdoes R intend to vote forgovernor (ballot card),"5. Other candidate (SPECIFY)
5. Other candidate (SPECIFY)
","-1. Inapplicable
-8. Don't know
-9. Refused
-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_intgovnobc,For whomdoes R intend to vote forgovernor (no ballot cd),"81. Democrat
82. Republican
81. Democrat
82. Republican
","-1. Inapplicable
-8. Don't know
-1. Inapplicable
-8. Don't know
"
prevote_govpref,Does Rprefer gubernatorial candidate,"1. Yes
2. No
","-1. Inapplicable
-8. Don't know
"
prevote_govprefbc,Whom doesR prefer for governor (ballot card),"5. Other candidate (SPECIFY)
5. Other candidate (SPECIFY)
","-1. Inapplicable
-9. Refused
-1. Inapplicable
-9. Refused
"
prevote_govprefnobc,Whom doesR prefer for governor (no ballotcard),,"-1. Inapplicable
-9. Refused
-1. Inapplicable
-9. Refused
"
candlik_likedpc,Is thereanything R likes about Democratic Prescand,"1. Yes
2. No
1. Yes
2. No
","-8. Don't know
-9. Refused
-8. Don't know
-9. Refused
"
candlik_likewhatdpc,What isit that R likes about DemocraticPres cand,,"-2. Textresponses available in separatefile
-2. Textresponses available in separatefile
"
candlik_disldpc,Is thereanything R dislikes about Democratic Prescand,"1. Yes
2. No
1. Yes
2. No
","-8. Don'tknow
-9. Refused
-8. Don't know
-9. Refused
"
candlik_dislwhatdpc,What isit that R dislikes about DemocraticPres cand,,"-2. Textresponses available in separatefile
-2. Textresponses available in separatefile
"
candlik_likerpc,Is thereanything R likes about Republican Prescand,"1. Yes
2. No
1. Yes
2. No
","-8. Don't know
-9. Refused
-8. Don't know
-9. Refused
"
candlik_likewhatrpc,What isit that R likes about RepublicanPres cand,,"-2. Textresponses available in separatefile
-2. Textresponses available in separatefile
"
candlik_dislrpc,Is thereanything R dislikes about Republican Prescand,"1. Yes
2. No
1. Yes
2. No
","-8. Don't know
-9. Refused
-8. Don't know
-9. Refused
"
candlik_dislwhatrpc,What isit that R dislikes about RepublicanPres cand,,"-2. Textresponses available in separatefile
-2. Textresponses available in separatefile
"
congapp_job,Approval ofCongress handling its job,"1. Approve
2. Disapprove
1. Approve
2. Disapprove
","-8. Don't know
-9. Refused
-8. Don't know
-9. Refused
"
congapp_jobst,Strength appr/disapproveCongress handling its job,"1. Strongly
2. Not strongly
1. Strongly
2. Not strongly
","-1. Inapplicable
-8. Don't know
-9. Refused
-1. Inapplicable
-8. Don't know
-9. Refused
"
congapp_job_x,PRE: SUMMARY-Approvalof Congress,"1. Approve strongly
2. Approve not strongly
4. Disapprovenot strongly
5. Disapprove strongly
1. Approve strongly
2. Approvenot strongly
4. Disapprove notstrongly
5. Disapprove strongly
","-8. Don't know
-9. Refused
-8. Don'tknow
-9. Refused
"
presapp_track,Are thingsin the country on right track,"1. Right direction
2. Wrongtrack
1. Right direction
2. Wrongtrack
","-8. Don't know
-9. Refused
-8. Don't know
-9. Refused
"
presapp_job,Approve ordisapprove President handling job as Pres,"1. Approve
2. Disapprove
1. Approve
2. Disapprove
","-8. Don't know
-9. Refused
-8. Don't know
-9. Refused
"
presapp_jobstr,How muchapprove or disapp Pres handling job,"1. Strongly
2. Not strongly
1. Strongly
2. Not strongly
","-1. Inapplicable
-8. Don't know
-9. Refused
-1. Inapplicable
-8. Don't know
-9. Refused
"
presapp_job_x,PRE: SUMMARY-Approvalof President handling of job,"1. Approve strongly
2. Approve notstrongly
4. Disapprove not strongly
5. Disapprove strongly
1. Approve strongly
2. Approvenot strongly
4. Disapprove notstrongly
5. Disapprove strongly
","-8. Don't know
-9. Refused
-8. Don'tknow
-9. Refused
"
presapp_econ,Approve ordisapprove President handling economy,"1. Approve
2. Disapprove
1. Approve
2. Disapprove
","-8. Don'tknow
-9. Refused
-8. Don't know
-9. Refused
"
presapp_econstr,How muchapprove or disapprove Pres handling economy,"1. Strongly
2. Not strongly
1. Strongly
2. Not strongly
","-1. Inapplicable
-8. Don't know
-9. Refused
-1. Inapplicable
-8. Don't know
-9. Refused
"
presapp_econ_x,PRE: SUMMARY-Approvalof President handling economy,"1. Approve strongly
2. Approve not strongly
4. Disapprovenot strongly
5. Disapprove strongly
1. Approve strongly
2. Approvenot strongly
4. Disapprove notstrongly
5. Disapprove strongly
","-8. Don't know
-9. Refused
-8. Don'tknow
-9. Refused
"
presapp_foreign,Approve ordisapprove President handling foreign rel,"1. Approve
2. Disapprove
1. Approve
2. Disapprove
","-8. Don'tknow
-9. Refused
-8. Don't know
-9. Refused
"
presapp_foreignstr,How muchapprove/disapprove Pres handling foreign rrel,"1. Strongly
2. Not strongly
1. Strongly
2. Not strongly
","-1. Inapplicable
-8. Don't know
-9. Refused
-1. Inapplicable
-8. Don't know
-9. Refused
"
presapp_foreign_x,PRE: SUMMARY-Approvalof President handling foreign relations,"1. Approve strongly
2. Approve not strongly
4. Disapprovenot strongly
5. Disapprove strongly
1. Approve strongly
2. Approvenot strongly
4. Disapprove notstrongly
5. Disapprove strongly
","-8. Don't know
-9. Refused
-8. Don'tknow
-9. Refused
"
presapp_health,Approve ordisapprove President handling health care,"1. Approve
2. Disapprove
1. Approve
2. Disapprove
","-8. Don'tknow
-9. Refused
-8. Don't know
-9. Refused
"
presapp_healthstr,How muchapprove/disapprove Pres handling health care,"1. Strongly
2. Not strongly
1. Strongly
2. Not strongly
","-1. Inapplicable
-8. Don't know
-9. Refused
-1. Inapplicable
-8. Don't know
-9. Refused
"
presapp_health_x,PRE: SUMMARY-Approvalof President handling health care,"1. Approve strongly
2. Approve not strongly
4. Disapprovenot strongly
5. Disapprove strongly
1. Approve strongly
2. Approvenot strongly
4. Disapprove notstrongly
5. Disapprove strongly
","-8. Don't know
-9. Refused
-8. Don'tknow
-9. Refused
"
presapp_war,Approve ordisapprove President handling war in Afghanst,"1. Approve
2. Disapprove
1. Approve
2. Disapprove
","-8. Don't know
-9. Refused
-8. Don't know
-9. Refused
"
presapp_warstr,How muchapprove/disapprove Pres handling war in Afghanst,"1. Strongly
2. Not strongly
1. Strongly
2. Not strongly
","-1. Inapplicable
-8. Don't know
-9. Refused
-1. Inapplicable
-8. Don't know
-9. Refused
"
presapp_war_x,PRE: SUMMARY-Approvalof President handling war in Afghanistan,"1. Approve strongly
2. Approve notstrongly
4. Disapprove not strongly
5. Disapprove strongly
1. Approve strongly
2. Approvenot strongly
4. Disapprove notstrongly
5. Disapprove strongly
","-8. Don't know
-9. Refused
-8. Don'tknow
-9. Refused
"
ft_dpc,Feeling Thermometer: Democratic Presidential cand,,
ft_rpc,Feeling Thermometer: Republican Presidential cand,,
ft_dvpc,Feeling Thermometer: Democratic Vice-Prescand,,
ft_rvpc,Feeling Thermometer: Republican Vice-Prescand,,
ft_hclinton,Feeling Thermometer: Hillary Clinton,,
ft_gwb,Feeling Thermometer: GW Bush,,
ft_dem,Feeling Thermometer: Democratic Party,,
ft_rep,Feeling Thermometer: Republican Party,,
ptylik_likdp,Is thereanything R likes about Democratic Party,"1. Yes
2. No
1. Yes
2. No
","-8. Don't know
-9. Refused
-8. Don't know
-9. Refused
"
ptylik_lwhatdp,What doesR like about Democratic party,,"-2. Textresponses available in separatefile
-2. Textresponses available in separatefile
"
ptylik_disldp,Is thereanything R dislikes about Democratic Party,"1. Yes
2. No
1. Yes
2. No
","-8. Don'tknow
-9. Refused
-8. Don't know
-9. Refused
"
ptylik_dwhatdp,What doesR dislike about the Democratic party,,"-2. Textresponses available in separatefile
-2. Textresponses available in separatefile
"
ptylik_likrp,Is thereanything R likes about Republican Party,"1. Yes
2. No
1. Yes
2. No
","-8. Don'tknow
-9. Refused
-8. Don't know
-9. Refused
"
ptylik_lwhatrp,What doesR like about Republican party,,"-2. Textresponses available in separatefile
-2. Textresponses available in separatefile
"
ptylik_dislrp,Is thereanything R dislikes about Republican Party,"1. Yes
2. No
1. Yes
2. No
","-8. Don'tknow
-9. Refused
-8. Don't know
-9. Refused
"
ptylik_dwhatrp,What doesR dislike about the Republican party,,"-2. Textresponses available in separatefile
-2. Textresponses available in separatefile
"
finance_finfam,R livingwith how many family members,"0. No family members
1. One family member
2. Twofamily members
3. Threefamily members
4. Four family members
5. Five or morefamily members
0. No family members
1. One family member
2. Twofamilymembers
3. Three family members
4. Fourfamily members
5. Five or more familymembers
","-8. Don't know
-9. Refused
-8. Don't know
-9. Refused
"
finance_finpast,R better/worseoffthan 1 year ago,"1. Better
2. Worse
3. The same (VOL)
1. Better
2. Worse
3. Thesame (VOL)
","-8. Don'tknow
-9. Refused
-8. Don't know
-9. Refused
"
finance_finpastamt,R howmuch better/worse offthan 1 yearago,"1. Much
2. Somewhat
1. Much
2. Somewhat
","-1. Inapplicable
-8. Don't know
-9. Refused
-1. Inapplicable
-8. Don't know
-9. Refused
"
finance_finpast_x,PRE: SUMMARY-Betteror worse offthan 1year ago,"1. Much better
2. Somewhatbetter
3. The same (VOL)
4. Somewhat worse
5. Much worse
1. Much better
2. Somewhat better
3. Thesame (VOL)
4. Somewhat worse
5. Much worse
","-8. Don't know
-9. Refused
-8. Don't know
-9. Refused
"
finance_finnext,Will Rbe financially better/worse offone yearfrom now,"1. Better
2. Worse
3. The same
1. Better
2. Worse
3. The same
","-8. Don't know
-9. Refused
-8. Don't know
-9. Refused
"
finance_finnextamt,R howmuch better/worse off1 year fromnow,"1. Much
2. Somewhat
1. Much
2. Somewhat
","-1. Inapplicable
-8. Don't know
-9. Refused
-1. Inapplicable
-8. Don't know
-9. Refused
"
finance_finnext_x,PRE: SUMMARY-Betteror worse off1 yearfrom now,"1. Much better
2. Somewhatbetter
3. The same
4. Somewhat worse
5. Much worse
1. Much better
2. Somewhat better
3. The same
4. Somewhat worse
5. Much worse
","-8. Don't know
-9. Refused
-8. Don't know
-9. Refused
"
health_insured,Does Rhave health insurance,"1. Yes
2. No
1. Yes
2. No
","-8. Don't know
-9. Refused
-8. Don't know
-9. Refused
"
health_2010hcr,Favor oroppose 2010 health care law,"1. Favor
2. Oppose
3. Neither favor nor oppose
1. Favor
2. Oppose
3. Neitherfavor nor oppose
","-8. Don't know
-9. Refused
-8. Don't know
-9. Refused
"
health_2010hcrfav,Strength ofsupport or oppose 2010 law,"1. A great deal
2. Moderately
3. A little
1. A great deal
2. Moderately
3. A little
","-1. Inapplicable
-8. Don't know
-9. Refused
-1. Inapplicable
-8. Don't know
-9. Refused
"
