Variable,sum1,sum2,sum3,sum4,q_orig,q_1,q_2,q_3,q_4,Valid1,Valid2,Valid3,Valid4,Missing1,Missing2,Missing3,Missing4,Sources
VCF9302,PRE: FORCE TO SOLVE INTERNATIONAL PROBLEMS,PRE: FORCE TO SOLVE INTERNATIONAL PROBLEMS,PRE: F orce to solve international problems,,How willing should the U.S. be in using military force to solve international problems,"How willing should the United States be to use military force to solve international problems? [Extremely willing, very willing, moderately willing, a little willing, or not at all willing / Not at all willing, a little willing, moderately willing, very willing, or extremely willing]?",How willing should the United States be to use military force to solve international problems?,"How willing should the United States be to use military force to solve in- ternational problems? [Extremely willing, very willing, moderately willing, a little willing, or not at all willing / Not at all willing, a little willing, moderately willing, very willing, or extremely willing]? F orward/reverse response option order",,"1. Extremely willing
2. Very willing
3. Moderately willing
4. A little willing
5. Not at all willing","1. Extremely willing
2. Very willing
3. Moderately willing
4. A little willing
5. Not at all willing","1. Extremely willing
2. V ery willing
3. Moderately willing
4. A little willing
5. Not at all willing",,"-9. Refused
-8. Don’t know
-1. Inapplicable","-9. Refused
-8. Don’t know","-8. Don’t know (FTF only)
-9. Refused",,"2024: V241313
2020: V201350
2016: V161154"
VCF9303,POST: DHS: HOW WORRIED ABOUT TERRORIST ATTACK IN NEAR FUTURE,POST: DHS: HOW WORRIED ABOUT TERRORIST ATTACK IN NEAR FUTURE,POST: How worried about terrorist attack next 12 months,,How worried is R that U.S will experience terrorist attack,"Now for some other questions. How worried are you that the United States will experience a terrorist attack in the near future? [Extremely worried, very worried, moderately worried, slightly worried, or not at all worried / Not at all worried, slightly worried, moderately worried, very worried, or extremely worried]?",Now for some other questions. How worried are you that the United States will experience a terroristattack in the near future?,"How worried are you that the United States will experience a terrorist attack in the near future? [Extremely worried, very worried, moderately worried, slightly worried, or not at all worried / Not at all worried, slightly worried, moderately worried, very worried, or extremely worried]? F orward/reverse response option order",,"1. Extremely worried
2. Very worried
3. Moderately worried
4. Slightly worried
5. Not at all worried","1. Extremely worried
2. Very worried
3. Moderately worried
4. Slightly worried
5. Not at all worried","1. Extremely worried
2. V ery worried
3. Moderately worried
4. Slightly worried
5. Not at all worried",,"-9. Refused
-7. Insuﬃcient partial, interview deleted
-6. No post interview
-5. Suﬃcient partial, breakoﬀ
-1. Inapplicable","-9. Refused
-8. Don’t know
-7. No post-election data, deleted due to incomplete interview
-6. No post-election interview
-5. Interview breakoff (sufficient partial IW)","-6. No post-election interview
-7. No post data, deleted due
-8. Don’t know
-9. Refused",,"2024: V242343
2020: V202358
2016: V162160"
VCF9304,POST: HOW IMPORTANT IS BEING A FEMINIST,POST: HOW IMPORTANT IS BEING A FEMINIST,"PRE FTF CASI/WEB: How well does feminist describe you
PRE FTF CASI/WEB: How important is being a feminist",,(How well does the term 'feminist' describe R?) How important is being feminist?,How important is it to you to be a feminist?,How important is it to you to be a feminist?,"How well does the term feminist’ describe you? F orward/reverse response option order
IF HOW WELL TERM FEMINIST APPLIES TO R IS MORE THAN ‘NOT A T ALL’: How important is it to you to be a feminist? [Extremely important, very important, somewhat important, a little important, or not at all important / not at all important, a little important, somewhat important, very important or extremely important]? F orward/reverse response option order",,"1. Extremely important
2. Very important
3. Somewhat important
4. A little important
5. Not at all important","1. Extremely important
2. Very important
3. Somewhat important
4. A little important
5. Not at all important","1. Extremely well
2. V ery well
3. Somewhat well
4. Not very well
5. Not at all

1. Extremely important
2. V ery important
3. Somewhat important
4. A little important
5. Not at all important",,"-7. Insuﬃcient partial, interview deleted
-6. No post interview
-5. Suﬃcient partial, breakoﬀ
-1. Inapplicable","-7. No post-election data, deleted due to incomplete interview
-6. No post-election interview
-5. Interview breakoff (sufficient partial IW)
-1. Inapplicable","-5. Interview breakoff
-9. Refused

-1. INAP ,
-5. Interview breakoff
-9. Refused",,"2024: V242513
2020: V202476
2016: V161346; V161347"
VCF9305,POST: HOW IMPORTANT THAT MORE WOMEN GET ELECTED TO POLITICAL OFFICE,POST: HOW IMPORTANT THAT MORE WOMEN GET ELECTED TO POLITICAL OFFICE,POST: How important that more women get elected,,How important is it that more women be elected to political office,"How important is it that more women be elected to political oﬃce? [Extremely important, very important, moderately important, a little important, or not at all important / Not at all important, a little important, moderately important, very important, or extremely important]?",How important is it that more women be elected to political office?,"Please turn to page [PRELOAD: page] of the booklet. How important is it that more women be elected to political office? [Extremely important, very important, moderately important, a little important, or not important at all / Not important at all, a little important, moderately important, very important, or extremely important]? F or W eb administration, reference to the respondent booklet was omitted. F orward/reverse response option order",,"1. Extremely important
2. Very important
3. Moderately important
4. A little important
5. Not at all important","1. Extremely important
2. Very important
3. Moderately important
4. A little important
5. Not at all important","1. Extremely important
2. V ery important
3. Moderately important
4. A little important
5. Not at all important",,"-9. Refused
-8. Don’t know
-7. Insuﬃcient partial, interview deleted
-6. No post interview
-5. Suﬃcient partial, breakoﬀ
-1. Inapplicable","-9. Refused
-8. Don’t know
-7. No post-election data, deleted due to incomplete interview
-6. No post-election interview
-5. Interview breakoff (sufficient partial IW)
-1. Inapplicable","-6. No post-election interview
-7. No post data, deleted due
-8. Don’t know
-9. Refused",,"2024: V242212
2020: V202224
2016: V162227"
VCF9306,PRE: AGREE/DISAGREE - WOMEN INTERPRET INNOCENT REMARKS AS SEXIST,PRE: WOMEN INTERPRET INNOCENT REMARKS AS SEXIST,PRE FTF CASI / WEB: Innocent remarks as sexist,,Women interpret innocent remarks as sexist,"‘Many women interpret innocent remarks or acts as being sexist.’ Do you [agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, or disagree strongly / disagree strongly, disagree somewhat, neither agree nor disagree, agree somewhat, or agree strongly] with this statement?","‘Many women interpret innocent remarks or acts as being sexist.’ Do you agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, or disagree strongly with this statement? PRE- ELECTION SURVEY VARIABLES 311","’Many women interpret innocent remarks or acts as being sexist. ’ Do you agree strongly , agree somewhat, neither agree nor disagree, disagree some- what, or disagree strongly with this statement?",,"1. Agree strongly
2. Agree somewhat
3. Neither agree nor disagree
4. Disagree somewhat
5. Disagree strongly","1. Agree strongly
2. Agree somewhat
3. Neither agree nor disagree
4. Disagree somewhat
5. Disagree strongly","1. Agree strongly
2. Agree somewhat
3. Neither agree nor disagree
4. Disagree somewhat
5. Disagree strongly",,"-9. Refused
-5. Break oﬀ, suﬃcient partial
-1. Inapplicable","-9. Refused
-5. Interview breakoff (sufficient partial IW)","-5. Interview breakoff
-9. Refused",,"2024: V241607
2020: V201639
2016: V161507"
VCF9307,PRE: WOMEN SEEK TO GAIN POWER BY GETTING CONTROL OVER MEN,PRE: WOMEN SEEK TO GAIN POWER BY GETTING CONTROL OVER MEN,PRE FTF CASI / WEB: W omen seek to gain power by getting control over,,Women gain power by getting control over men,"‘Women seek to gain power by getting control over men.’ Do you [agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, or disagree strongly / disagree strongly, disagree somewhat, neither agree nor disagree, agree somewhat, or agree strongly] with this statement?","‘Women seek to gain power by getting control over men.’ Do you agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, or disagree strongly with this statement?","’W omen seek to gain power by getting control over men. ’ (Do you agree strongly , agree somewhat, neither agree nor disagree, disagree somewhat, or disagree strongly with this statement?)",,"1. Agree strongly
2. Agree somewhat
3. Neither agree nor disagree
4. Disagree somewhat
5. Disagree strongly","1. Agree strongly
2. Agree somewhat
3. Neither agree nor disagree
4. Disagree somewhat
5. Disagree strongly","1. Agree strongly
2. Agree somewhat
3. Neither agree nor disagree
4. Disagree somewhat
5. Disagree strongly",,"-9. Refused
-5. Break oﬀ, suﬃcient partial
-1. Inapplicable","-9. Refused
-5. Interview breakoff (sufficient partial IW)","-5. Interview breakoff
-9. Refused",,"2024: V241608
2020: V201640
2016: V161509"
VCF9308,PRE: HOW MANY GUNS IN HOUSEHOLD,PRE: HOW MANY GUNS OWNED,PRE FTF CASI / WEB: How many Guns owned,,How many guns does R own?,How many guns do you or anyone else living here own? Type the number.,How many guns do you or anyone else living here own? Type the number.,How many guns do you or anyone else living here own? TYPE THE NUM- BER. 37 unique outcomes. 20 most frequently appearing outcomes:,,V241583,,,,"-9. Refused
-5. Break oﬀ, suﬃcient partial
-1. Inapplicable","-9. Refused
-5. Interview breakoff (sufficient partial IW)",,,"2024: V241583
2020: V201628
2016: V161496"
VCF9309,"PRE: APPROVE/DISAPPROVE TRANSGENDER PEOPLE USE BATHROOM THAT MATCHES GENDER IDENTITY
PRE: HOW STRONGLY APPROVE/DISAPPROVE TRANSGENDER PEOPLE USE BATHROOM THAT MATCHES GENDER IDENTITY","PRE: TRANSGENDER POLICY
PRE: TRANSGENDER POLICY (STRENGTH)","PRE: T ransgender bathroom policy
PRE: T ransgender policy strength",,Which bathroom should transgender people use,"Do you favor, oppose, or neither favor nor oppose allowing transgender people to use public bathrooms that match the gender they identify with?
Do you [favor / oppose] that [a great deal, a moderate amount, or a little / a little, a moderate amount, or a great deal]? 156 CODEBOOK: VARIABLES","Should transgender people - that is, people who identify themselves as the sex or gender different from the one they were born as - have to use the bathrooms of the gender they were born as, or should they be allowed to use the bathrooms of their identified gender? PRE- ELECTION SURVEY VARIABLES 175
How strongly do you feel that way?","Should transgender people – that is, people who identify themselves as the sex or gender different from the one they were born as – have to use the bathrooms of the gender they were born as, or should they be allowed to use the bathrooms of their identified gender?
IF R OPINION ON TRANSGENDER USE OF RESTROOMS OF IDEN- TIFIED GENDER IS NOT DK/RF: How strongly do you feel about that? [V ery strongly , moderately strongly , or slightly strongly / Slightly strongly , moderately strongly or very strongly]? F orward/reverse response option order",,"1. Favor
2. Oppose
3. Neither favor nor oppose
1. A great deal
2. A moderate amount
3. A little","1. Have to use the bathrooms of the gender they were born as
2. Be allowed to use the bathrooms of their identified gender
1. Very strongly
2. Moderately
3. A little","1. Have to use the bathrooms
2. Be allowed to use the

1. V ery strongly
2. Moderately
3. Slightly1. F eel very strongly-
2. F eel moderately strongly-
3. F eel a little strongly-
4. F eel a little strongly -
5. F eel moderately strongly -
6. F eel very strongly -",,"-9. Refused
-8. Don’t know
-1. Inapplicable
-9. Refused
-1. Inapplicable","-9. Refused
-8. Don’t know
-9. Refused
-8. Don’t know
-1. Inapplicable","-8. Don’t know (FTF only)
-9. Refused

-1. INAP , -8,-9 in V161228
-8. Don’t know (FTF only)
-9. Refused-8. DK (-8) in V161228 or
-9. RF (-9) in V161228 or",,"2024: V241370;V241371
2020: V201409;V201410
2016: V161228;V161228a"
VCF9310,"PRE: FAVOR OR OPPOSE ENDING BIRTHRIGHT CITIZENSHIP
PRE: FAVOR OR OPPOSE ENDING BIRTHRIGHT CITIZENSHIP (STRENGTH)","PRE: FAVOR OR OPPOSE ENDING BIRTHRIGHT CITIZENSHIP
PRE: FAVOR OR OPPOSE ENDING BIRTHRIGHT CITIZENSHIP (STRENGTH)","PRE: F avor or oppose ending birthright citizenship
PRE: Strength R favors or opposes ending birthright citizenship",,Favor/oppose changing constitution so that children of unauthorized immigrants do not automatically get citizenship if born in U.S.,"Some people have proposed that the U.S. Constitution should be changed so that the children of unauthorized immigrants do not automatically get citizenship if they are born in this country. Do you favor, oppose, or neither favor nor oppose this proposal?
Do you favor that [a great deal, a moderate amount, or a little / a little, a moderate amount, or a great deal]? / Do you oppose that [a great deal, a moderate amount, or a little / a little, a moderate amount, or a great deal]? PRE- ELECTION SURVEY VARIABLES 163","Some people have proposed that the U.S. Constitution should be changed so that the children of unauthorized immigrants do not automatically get citizenship if they are born in this country. Do you favor, oppose, or neither favor nor oppose this proposal?
Do you [favor / oppose] that a great deal, a moderate amount, or a little?","Some people have proposed that the U.S. Constitution should be changed so that the children of unauthorized immigrants do not automatically get citizenship if they are born in this country . Do you favor, oppose, or neither favor nor oppose this proposal?
IF R F A VORS CHANGING CONSTITUTION - US-BORN CHILDREN OF ILLEGAL IMMIGRANTS / IF R F A VORS CHANGING CONSTITUTION - US-BORN CHILDREN OF ILLEGAL IMMIGRANTS: Do you favor that [a great deal, a moderate amount, or a little / a little, a moderate amount, or a great deal]? / Do you oppose that [a great deal, a moderate amount, or a little / a little, a moderate amount, or a great deal]? F orward/reverse response option order",,"1. Favor
2. Oppose
3. Neither favor nor oppose
1. A great deal
2. A moderate amount
3. A little","1. Favor
2. Oppose
3. Neither favor nor oppose
1. A great deal
2. A moderate amount
3. A little","1. F avor
2. Oppose
3. Neither favor nor oppose

1. A great deal
2. A moderate amount
3. A little1. F avor a great deal
2. F avor a moderate amount
3. F avor a little
4. Neither favor nor oppose
5. Oppose a little
6. Oppose a moderate
7. Oppose a great deal1. Should send back - favor a
2. Should send back - favor a
3. Should send back - favor a
4. Should allow to stay -
5. Should allow to stay -
6. Should allow to stay -",,"-9. Refused
-8. Don’t know
-1. Inapplicable
-9. Refused
-1. Inapplicable","-9. Refused
-8. Don’t know
-9. Refused
-1. Inapplicable","-8. Don’t know (FTF only)
-9. Refused

-1. INAP ,
-8. Don’t know (FTF only)
-9. Refused-8. DK (-8) in V161193 or
-9. RF (-9) in V161193 or-8. DK (-8) in V161193 or
-9. RF (-9) in V161193 or",,"2024: V241387;V241388
2020: V201418;V201419
2016: V161193;V161193a"
VCF9311,"PRE: SHOULD CHILDREN BROUGHT ILLEGALLY BE SENT BACK OR ALLOWED TO STAY
PRE: SHOULD CHILDREN BROUGHT ILLEGALLY BE SENT BACK/ALLOWED TO STAY (STRENGTH)","PRE: SHOULD CHILDREN BROUGHT ILLEGALLY BE SENT BACK OR ALLOWED TO STAY
PRE: SHOULD CHILDREN BROUGHT ILLEGALLY BE SENT BACK/ALLOWED TO STAY (STRENGTH)","PRE: Children brought illegally sent back
PRE: Children brought illegally strength follow-up",,What should happen to immigrants brought to the U.S. illegally as children?,"What should happen to immigrants who were brought to the U.S. illegally as children and have lived here for at least 10 years and graduated high school here? Should they be sent back where they came from, or should they be allowed to live and work in the United States?
Do you favor that [a great deal, a moderate amount, or a little / a little, a moderate amount, a great deal]?","What should happen to immigrants who were brought to the U.S. illegally as children and have lived here for at least 10 years and graduated high school here? Should they be sent back where they came from, or should they be allowed to live and work in the United States?
Do you favor that a great deal, a moderate amount, or a little?","What should happen to immigrants who were brought to the U.S. illegally as children and have lived here for at least 10 years and graduated high school here? Should they be sent back where they came from, or should they be allowed to live and work in the United States?
IF R OPINION ON ILLEGAL IMMIGRANT CHILDREN RAISED IN U.S. IS NOT DK/RF: Do you favor that [a great deal, a moderate amount, or a little / a little, a moderate amount, a great deal]? F orward/reverse response option order",,"1. Should be sent back where they came from
2. Should be allowed to live and work in the US
1. A great deal
2. A moderate amount
3. A little","1. Should be sent back where they came from
2. Should be allowed to live and work in the US
1. A great deal
2. A moderate amount
3. A little","1. Should be sent back where
2. Should be allowed to live

1. A great deal
2. A moderate amount
3. A little",,"-9. Refused
-8. Don’t know
-1. Inapplicable
-9. Refused
-1. Inapplicable","-9. Refused
-8. Don’t know
-9. Refused
-8. Don’t know
-1. Inapplicable","-8. Don’t know (FTF only)
-9. Refused

-1. INAP , -8,-9 in V161195
-8. Don’t know (FTF only)
-9. Refused",,"2024: V241390;V241391
2020: V201421;V201422
2016: V161195;V161195a"
VCF9312,"PRE: FAVOR OR OPPOSE BUILDING A WALL ON BORDER WITH MEXICO
PRE: FAVOR OR OPPOSE BUILDING A WALL ON BORDER WITH MEXICO (STRENGTH)","PRE: FAVOR OR OPPOSE BUILDING A WALL ON BORDER WITH MEXICO
PRE: FAVOR OR OPPOSE BUILDING A WALL ON BORDER WITH MEXICO (STRENGTH)","PRE: Build a wall with Mexico
PRE: Build a wall with Mexico strength follow-up",,Favor/oppose building a wall on the U.S. border with Mexico,"Do you favor, oppose, or neither favor nor oppose building a wall on the U.S. border with Mexico?
Do you favor that [a great deal, a moderate amount, or a little / a little, a moderate amount, or a great deal]? / Do you oppose that [a great deal, a moderate amount, or a little / a little, a moderate amount, or a great deal]?","Do you favor, oppose, or neither favor nor oppose building a wall on the U.S. border with Mexico? PRE- ELECTION SURVEY VARIABLES 181
Do you [favor / oppose] that a great deal, a moderate amount, or a little?","Do you favor, oppose, or neither favor nor oppose building a wall on the U.S. border with Mexico?
IF R F A VORS BUILDING A W ALL ON THE U.S. BORDER WITH MEX- ICO / IF R OPPOSES BUILDING A W ALL ON THE U.S. BORDER WITH MEXICO: Do you favor that [a great deal, a moderate amount, or a little / a little, a moderate amount, or a great deal]? / Do you oppose that [a great deal, a moderate amount, or a little / a little, a moderate amount, or a great deal]? F orward/reverse response option order",,"1. Favor
2. Oppose
3. Neither favor nor oppose
1. A great deal
2. A moderate amount
3. A little","1. Favor
2. Oppose
3. Neither favor nor oppose
1. A great deal
2. A moderate amount
3. A little","1. F avor
2. Oppose
3. Neither favor nor oppose

1. A great deal
2. A moderate amount
3. A little1. F avor a great deal
2. F avor a moderate amount
3. F avor a little
4. Neither favor nor oppose
5. Oppose a little
6. Oppose a moderate
7. Oppose a great deal",,"-9. Refused
-8. Don’t know
-1. Inapplicable
-9. Refused
-1. Inapplicable","-9. Refused
-8. Don’t know
-9. Refused
-1. Inapplicable","-8. Don’t know (FTF only)
-9. Refused

-1. INAP ,
-8. Don’t know (FTF only)
-9. Refused-8. DK (-8) in V161196 or
-9. RF (-9) in V161196 or",,"2024: V241393;V241394
2020: V201424;V201425
2016: V161196;V161196a"
VCF9313,"PRE: GOVERNMENT ACTION ABOUT RISING TEMPERATURES
PRE: GOVERNMENT ACTION ABOUT RISING TEMPERATURES (STRENGTH)","PRE: GOVERNMENT ACTION ABOUT RISING TEMPERATURES
PRE: GOVERNMENT ACTION ABOUT RISING TEMPERATURES (STRENGTH)","PRE: Govt action about rising temperatures
PRE: Strength of position on govt action about rising temperatures",,Should federal government be doing more about rising temperatures?,"Do you think the federal government should be doing more about rising temperatures, should be doing less, or is it currently doing the right amount?
Should it be doing a great deal [more/less], a moderate amount [more/less], or a little [more/less]? / Should it be doing a little [more/less], a moderate amount [more/less], or a great deal [more/less]?","Do you think the federal government should be doing more about rising temperatures, should be doing less, or is it currently doing the right amount?
Should it be doing a great deal [more/less], a moderate amount [more/less], or a little [more/less]?","Do you think the federal government should be doing more about rising temperatures, should be doing less, or is it currently doing the right amount?
IF R SA YS GOVERNMENT SHOULD DO MORE ABOUT RISING TEM- PERA TURES / IF R SA YS GOVERNMENT SHOULD DO LESS ABOUT RISING TEMPERA TURES: Should it be doing a great deal [more/less], a moderate amount [more/less], or a little [more/less]? / Should it be doing a little [more/less], a moderate amount [more/less], or a great deal [more/less]? F orward/reverse response option order",,"1. Should be doing more
2. Should be doing less
3. Is currently doing the right amount
1. A great deal
2. A moderate amount
3. A little","1. Should be doing more
2. Should be doing less
3. Is currently doing the right amount
1. A great deal
2. A moderate amount
3. A little","1. Should be doing more
2. Should be doing less
3. Is currently doing the right

1. Great deal
2. A moderate amount
3. A little1. Should be doing a great
2. Should be doing a
3. Should be doing a little
4. Currently doing the right
5. Should be doing a little less
6. Should be doing a
7. Should be doing a great",,"-9. Refused
-8. Don’t know
-1. Inapplicable
-9. Refused
-1. Inapplicable","-9. Refused
-8. Don’t know
-9. Refused
-1. Inapplicable","-8. Don’t know (FTF only)
-9. Refused

-1. INAP ,
-9. Refused-8. DK (-8) in V161224 or
-9. RF (-9) in V161224 or",,"2024: V241364;V241365
2020: V201401;V201402
2016: V161224;V161224a"
VCF9314,PRE: FEDERAL BUDGET SPENDING: SOCIAL SECURITY (STRENGTH),PRE: FEDERAL BUDGET SPENDING: SOCIAL SECURITY (STRENGTH),P1b1. How much increase or decrease spend on Soc Security,,How much should spending on Social Security be increased/decreased,Should it be [increased / decreased] a lot or a little? PRE- ELECTION SURVEY VARIABLES 117,Should it be [increased / decreased] a lot or a little?,"Should it be increased A GREAT DEAL, A MODERATE AMOUNT, or A LITTLE? /
Should it be decreased A GREAT DEAL, A MODERATE AMOUNT, or A LITTLE?",,"1. A lot
2. A little","1. A lot
2. A little","1. A great deal
2. A moderate amount
3. A little",,"-9. Refused
-1. Inapplicable","-9. Refused
-8. Don’t know
-1. Inapplicable","-1. INAP,
-8. Don't know
-9. Refused",,"2024: V241262
2020: V201301
2008: V083141a"
VCF9315,PRE: FEDERAL BUDGET SPENDING: PUBLIC SCHOOLS (STRENGTH),PRE: FEDERAL BUDGET SPENDING: PUBLIC SCHOOLS (STRENGTH),P1c1. How much increase or decrease spend on public schools,,How much should spending on public schools be increased/decreased,Should it be [increased / decreased] a lot or a little?,Should it be [increased / decreased] a lot or a little?,"Should it be increased A GREAT DEAL, A MODERATE AMOUNT, or A LITTLE? /
Should it be decreased A GREAT DEAL, A MODERATE AMOUNT, or A LITTLE?",,"1. A lot
2. A little","1. A lot
2. A little","1. A great deal
2. A moderate amount
3. A little",,"-9. Refused
-8. Don’t know
-1. Inapplicable","-9. Refused
-8. Don’t know
-1. Inapplicable","-1. INAP,
-8. Don't know
-9. Refused",,"2024: V241265
2020: V201304
2008: V083142a"
VCF9316,PRE: FEDERAL BUDGET SPENDING: DEALING WITH CRIME (STRENGTH),PRE: FEDERAL BUDGET SPENDING: DEALING WITH CRIME (STRENGTH),P1e1. How much increase or decrease spending on crime,,How much should spending on crime be increased/decreased,Should it be [increased / decreased] a lot or a little?,Should it be [increased / decreased] a lot or a little?,"Should it be increased A GREAT DEAL, A MODERATE AMOUNT, or A LITTLE? /
Should it be decreased A GREAT DEAL, A MODERATE AMOUNT, or A LITTLE?",,"1. A lot
2. A little","1. A lot
2. A little","1. A great deal
2. A moderate amount
3. A little",,"-9. Refused
-8. Don’t know
-1. Inapplicable","-9. Refused
-1. Inapplicable","-1. INAP,
-8. Don't know
-9. Refused",,"2024: V241271
2020: V201310
2008: V083144a"
VCF9317,PRE: FEDERAL BUDGET SPENDING: WELFARE PROGRAMS (STRENGTH),PRE: FEDERAL BUDGET SPENDING: WELFARE PROGRAMS (STRENGTH),P1f1. How much increase or decrease spending on welfare,,How much should spending on welfare be increased/decreased,Should it be [increased / decreased] a lot or a little?,Should it be [increased / decreased] a lot or a little?,"Should it be increased A GREAT DEAL, A MODERATE AMOUNT, or A LITTLE? /
Should it be decreased A GREAT DEAL, A MODERATE AMOUNT, or A LITTLE?",,"1. A lot
2. A little","1. A lot
2. A little","1. A great deal
2. A moderate amount
3. A little",,"-9. Refused
-8. Don’t know
-1. Inapplicable","-9. Refused
-1. Inapplicable","-1. INAP,
-8. Don't know
-9. Refused",,"2024: V241274
2020: V201313
2008: V083145a"
VCF9318,PRE: FEDERAL BUDGET SPENDING: TIGHTENING BORDER SECURITY (STRENGTH),PRE: FEDERAL BUDGET SPENDING: TIGHTENING BORDER SECURITY (STRENGTH),P1k1. How much increase or decrease spending on border,,How much should spending on border security be increased/decreased,Should it be [increased / decreased] a lot or a little?,Should it be [increased / decreased] a lot or a little?,"Should it be increased A GREAT DEAL, A MODERATE AMOUNT, or A LITTLE? /
Should it be decreased A GREAT DEAL, A MODERATE AMOUNT, or A LITTLE?",,"1. A lot
2. A little","1. A lot
2. A little","1. A great deal
2. A moderate amount
3. A little",,"-9. Refused
-8. Don’t know
-1. Inapplicable","-9. Refused
-8. Don’t know
-1. Inapplicable","-1. INAP,
-8. Don't know
-9. Refused",,"2024: V241268
2020: V201307
2008: V083149a"
VCF9319,PRE: FEDERAL BUDGET SPENDING: BUILDING AND REPAIRING HIGHWAYS (STRENGTH),PRE: FEDERAL BUDGET SPENDING: BUILDING AND REPAIRING HIGHWAYS (STRENGTH),P1a1. How much increase or decrease spending on highways,,How much should spending on highways be increased/decreased,Should it be [increased / decreased] a lot or a little?,Should it be [increased / decreased] a lot or a little?,"Should it be increased A GREAT DEAL, A MODERATE AMOUNT, or A LITTLE? /
Should it be decreased A GREAT DEAL, A MODERATE AMOUNT, or A LITTLE?",,"1. A lot
2. A little","1. A lot
2. A little","1. A great deal
2. A moderate amount
3. A little",,"-9. Refused
-8. Don’t know
-1. Inapplicable","-9. Refused
-1. Inapplicable","-1. INAP,
-8. Don't know
-9. Refused",,"2024: V241277
2020: V201316
2008: V083140a"
VCF9320,PRE: FEDERAL BUDGET SPENDING: PROTECTING THE ENVIRONMENT (STRENGTH),PRE: FEDERAL BUDGET SPENDING: PROTECTING THE ENVIRONMENT (STRENGTH),P1n1. How much increase or decrease spending on environment,,How much should spending on the environment be increased/decreased,Should it be [increased / decreased] a lot or a little?,Should it be [increased / decreased] a lot or a little?,"Should it be increased A GREAT DEAL, A MODERATE AMOUNT, or A LITTLE? /
Should it be decreased A GREAT DEAL, A MODERATE AMOUNT, or A LITTLE?",,"1. A lot
2. A little","1. A lot
2. A little","1. A great deal
2. A moderate amount
3. A little",,"-9. Refused
-8. Don’t know
-1. Inapplicable","-9. Refused
-8. Don’t know
-1. Inapplicable","-1. INAP,
-8. Don't know
-9. Refused",,"2024: V241283
2020: V201322
2008: V083151a"
VCF9321,PRE: FEDERAL BUDGET SPENDING: AID TO THE POOR (STRENGTH),PRE: FEDERAL BUDGET SPENDING: AID TO THE POOR (STRENGTH),P1j1. How much increase or decrease spending on aid to poor,,How much should spending on aid to the poor be increased/decreased,Should it be [increased / decreased] a lot or a little?,Should it be [increased / decreased] a lot or a little?,"Should it be increased A GREAT DEAL, A MODERATE AMOUNT, or A LITTLE? /
Should it be decreased A GREAT DEAL, A MODERATE AMOUNT, or A LITTLE?",,"1. A lot
2. A little","1. A lot
2. A little","1. A great deal
2. A moderate amount
3. A little",,"-9. Refused
-1. Inapplicable","-9. Refused
-8. Don’t know
-1. Inapplicable","-1. INAP,
-8. Don't know
-9. Refused",,"2024: V241280
2020: V201319
2008: V083148a"
VCF9322,PRE: NEED TO BE MORE SENSITIVE TALKING OR PEOPLE TOO EASILY OFFENDED PRE- ELECTION SURVEY VARIABLES 247,PRE: NEED TO BE MORE SENSITIVE TALKING OR PEOPLE TOO EASILY OFFENDED,PRE FTF CASI/WEB: Need to be more sensitive talking or people too,,People too easily offended vs change the way we talk to the be more sensitive (typo on website),Some people think that the way people talk needs to change with the times to be more sensitive to people from diﬀerent backgrounds. Others think that this has already gone too far and many people are just too easily oﬀended. Which is closer to your opinion?,Some people think that the way people talk needs to change with the times to be more sensitive to people from different backgrounds. Others think that this has already gone too far and many people are just too easily offended. Which is closer to your opinion?,Some people think that the way people talk needs to change with the times to be more sensitive to people from different backgrounds. Others think that this has already gone too far and many people are just too easily offended. Which is closer to your opinion?,,"1. The way people talk needs to change a lot
2. The way people talk needs to change a little
3. People are a little too easily oﬀended
4. People are much too easily oﬀended","1. The way people talk needs to change a lot
2. The way people talk needs to change a little
3. People are a little too easily offended
4. People are much too easily offended","1. The way people talk needs
2. The way people talk needs
3. People are a little too
4. People are much too easily",,"-9. Refused
-5. Break oﬀ, suﬃcient partial
-1. Inapplicable","-9. Refused
-5. Interview breakoff (sufficient partial IW)","-5. Interview breakoff
-9. Refused",,"2024: V241577
2020: V201626
2016: V161362"
